NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Jairampur_Mdiclcly_D (Arunachal Pradesh),Guwahati_KaliPahar_GW (Assam),E,ANY,ANY,ANY,Express,Guwahati_E,2717,0330;0600;1000;1600;2000
Jairampur_Mdiclcly_D (Arunachal Pradesh),Tezpur_Dipota_H (Assam),S,ANY,ANY,ANY,Surface,Tezpur_E,2309,0300;1045
Jaisalmer_Gaffurbhatt_D (Rajasthan),Jodhpur_Basni_H (Rajasthan),ANY,ANY,ANY,ANY,Surface,Jaipur_N,3506,0530;1330;2130
Jaisinghnagar_Ward1_D (Madhya Pradesh),Shahdol_Jamui_I (Madhya Pradesh),ANY,ANY,ANY,ANY,Surface,Shahdol_W,1307,0415;1130;1730;2100
Jaitwara_Nandna1_D (Madhya Pradesh),Satna_Nazirabad_I (Madhya Pradesh),ANY,ANY,ANY,ANY,Surface,Allahabad_N,3105,0415;1130;1730;2100
Jajpur_Chandama_D (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),E,ANY,ANY,ANY,Express,Bhubaneshwar_E,3221,0330;0600;1000;1600;2000
Jajpur_Chandama_D (Orissa),Bhadrak_Mathasahi_I (Orissa),S,ANY,ANY,ANY,Surface,Bhubaneshwar_E,3211,0600;1400;2200
Jajpur_Panasa_D (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),E,ANY,ANY,ANY,Express,Bhubaneshwar_E,3221,0330;0600;1000;1600;2000
Jajpur_Panasa_D (Orissa),Bhadrak_Mathasahi_I (Orissa),S,ANY,ANY,ANY,Surface,Bhubaneshwar_E,3211,0600;1400;2200
Jakh_Channi_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),E,ANY,ANY,ANY,Express,Jammu_N,0812,0330;0600;1000;1600;2000
Jakh_Channi_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Jammu_N,4605,0130;0930;1730
Jalalabad_BareillyRoad1_D (Uttar Pradesh),Bareilly_Sathrapur_H (Uttar Pradesh),E,ANY,ANY,ANY,Express,Bareilly_N,2803,0330;0600;1000;1600;2000
Jalalabad_BareillyRoad1_D (Uttar Pradesh),Bareilly_Sathrapur_H (Uttar Pradesh),S,ANY,ANY,ANY,Surface,Bareilly_N,3910,0600
Jalalabad_Bareillyroad_D (Uttar Pradesh),Bareilly_Sathrapur_H (Uttar Pradesh),E,ANY,ANY,ANY,Express,Bareilly_N,2803,0330;0600;1000;1600;2000
Jalalabad_Gandhinagar_D (Punjab),Chandigarh_RamNagar_GW (Punjab),E,ANY,ANY,ANY,Express,Chandigarh_N,0402,0330;0600;1000;1600;2000
Jalalabad_Gandhinagar_D (Punjab),Bathinda_KrishnaNagar_I (Punjab),S,ANY,ANY,ANY,Surface,Chandigarh_N,2104,0200;0700
Jalalpur_BibanMau_D (Uttar Pradesh),Varanasi_Khajuri_H (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Varanasi_N,2905,0300;1045
Jalalpur_Jaukabad_D (Uttar Pradesh),Azamgarh_Husanganj_H (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Varanasi_N,4207,0100;0900;1700
Jalandhar_Dadacolony_D (Punjab),Jalandhar_QajiMandi_P (Punjab),E,ANY,ANY,ANY,Express,Chandigarh_N,4212,0330;0600;1000;1600;2000
Jalandhar_Dadacolony_D (Punjab),Jalandhar_QajiMandi_P (Punjab),S,ANY,ANY,ANY,Surface,Chandigarh_N,2301,0930;930
Jalandhar_DeepNagar_D (Punjab),Jalandhar_QajiMandi_P (Punjab),E,ANY,ANY,ANY,Express,Chandigarh_N,4212,0330;0600;1000;1600;2000
Jalandhar_DeepNagar_D (Punjab),Jalandhar_QajiMandi_P (Punjab),S,ANY,ANY,ANY,Surface,Chandigarh_N,2301,0930;930
Jalandhar_DeolNagar_D (Punjab),Jalandhar_QajiMandi_P (Punjab),E,ANY,ANY,ANY,Express,Chandigarh_N,4212,0330;0600;1000;1600;2000
Jalandhar_DeolNagar_D (Punjab),Jalandhar_QajiMandi_P (Punjab),S,ANY,ANY,ANY,Surface,Chandigarh_N,2301,0930;930
Jalandhar_HardevNagar_D (Punjab),Jalandhar_QajiMandi_P (Punjab),E,ANY,ANY,ANY,Express,Chandigarh_N,4212,0330;0600;1000;1600;2000
Jalandhar_HardevNagar_D (Punjab),Jalandhar_QajiMandi_P (Punjab),S,ANY,ANY,ANY,Surface,Chandigarh_N,2301,0930;930
Jalandhar_IssaNagar_D (Punjab),Jalandhar_QajiMandi_P (Punjab),E,ANY,ANY,ANY,Express,Chandigarh_N,4212,0330;0600;1000;1600;2000
Jalandhar_IssaNagar_D (Punjab),Jalandhar_QajiMandi_P (Punjab),S,ANY,ANY,ANY,Surface,Chandigarh_N,2301,0930;930
Jalandhar_KarolBaghEx_D (Punjab),Jalandhar_QajiMandi_P (Punjab),E,ANY,ANY,ANY,Express,Chandigarh_N,4212,0330;0600;1000;1600;2000
Jalandhar_KarolBaghEx_D (Punjab),Jalandhar_QajiMandi_P (Punjab),S,ANY,ANY,ANY,Surface,Chandigarh_N,2301,0930;930
Jalandhar_MannNagar_D (Punjab),Jalandhar_QajiMandi_P (Punjab),E,ANY,ANY,ANY,Express,Chandigarh_N,4212,0330;0600;1000;1600;2000
Jalandhar_MannNagar_D (Punjab),Jalandhar_QajiMandi_P (Punjab),S,ANY,ANY,ANY,Surface,Chandigarh_N,2301,0930;930
Jalandhar_QajiMandi_P (Punjab),Jalandhar_QajiMandi_P (Punjab),E,ANY,ANY,ANY,Express,Chandigarh_N,4212,0330;0600;1000;1600;2000
Jalandhar_QajiMandi_P (Punjab),Jalandhar_QajiMandi_P (Punjab),S,ANY,ANY,ANY,Surface,Chandigarh_N,2301,0930;930
Jalandhar_UrbanEstate_D (Punjab),Jalandhar_QajiMandi_P (Punjab),E,ANY,ANY,ANY,Express,Chandigarh_N,4212,0330;0600;1000;1600;2000
Jalandhar_UrbanEstate_D (Punjab),Jalandhar_QajiMandi_P (Punjab),S,ANY,ANY,ANY,Surface,Chandigarh_N,2301,0930;930
Jalaun_Madhogarh_D (Uttar Pradesh),Kanpur_Kataraghan_H (Uttar Pradesh),E,ANY,ANY,ANY,Express,Kanpur_N,4307,0300;1045;1645;2215
Jalaun_Madhogarh_D (Uttar Pradesh),Kanpur_Kataraghan_H (Uttar Pradesh),S,ANY,ANY,ANY,Surface,Kanpur_N,2809,0300;1045
Jalaun_Sengarcol_D (Uttar Pradesh),Kanpur_Kataraghan_H (Uttar Pradesh),E,ANY,ANY,ANY,Express,Kanpur_N,4307,0300;1045;1645;2215
Jalaun_Sengarcol_D (Uttar Pradesh),Kanpur_Kataraghan_H (Uttar Pradesh),S,ANY,ANY,ANY,Surface,Kanpur_N,2809,0300;1045
Jalesar_SikandraRd_D (Uttar Pradesh),Aligarh_Dhanipur_H (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Delhi_N,3510,0200;0700
JalgaonJamod_Tatrpur_DPP (Maharashtra),Akola_Midcphase3_H (Maharashtra),ANY,ANY,ANY,ANY,Surface,Akola_W,1911,0145;0600;0830;1515;2100
Jalgaon_BhagirathClny_D (Maharashtra),Jalgaon_MIDC_I (Maharashtra),ANY,ANY,ANY,ANY,Surface,Jalgaon_W,2703,0415;1130;1730;2100
Jalgaon_Erandol1_D (Maharashtra),Jalgaon_MIDC_I (Maharashtra),ANY,ANY,ANY,ANY,Surface,Jalgaon_W,2703,0415;1130;1730;2100
Jalgaon_Midc_D (Maharashtra),Jalgaon_MIDC_I (Maharashtra),ANY,ANY,ANY,ANY,Surface,Jalgaon_W,2703,0415;1130;1730;2100
Jalgaon_MIDC_I (Maharashtra),Jalgaon_MIDC_I (Maharashtra),ANY,ANY,ANY,ANY,Surface,Jalgaon_W,2703,0415;1130;1730;2100
Jalna_Ambad_DPP (Maharashtra),Aurangabad_Gngapr_H (Maharashtra),ANY,ANY,ANY,ANY,Surface,Pune_W,2408,0600;0830;2100
Jalna_Badnapur_DPP (Maharashtra),Aurangabad_Gngapr_H (Maharashtra),ANY,ANY,ANY,ANY,Surface,Pune_W,2408,0600;0830;2100
Jalna_Kumbhari_D (Maharashtra),Aurangabad_Gngapr_H (Maharashtra),ANY,ANY,ANY,ANY,Surface,Pune_W,2408,0600;0830;2100
Jalna_Yashodipnagar_D (Maharashtra),Aurangabad_Gngapr_H (Maharashtra),ANY,ANY,ANY,ANY,Surface,Pune_W,2408,0600;0830;2100
Jalore_RishabhNagar_D (Rajasthan),Jalore_RishabhNagar_D (Rajasthan),ANY,ANY,ANY,ANY,Surface,Jaipur_N,2109,0530;1330;2130
Jalpaiguri_Gomostapara_D (West Bengal),Siliguri_Jugibhita_GW (West Bengal),E,ANY,ANY,ANY,Express,Siliguri_E,2308,0330;0600;1000;1600;2000
Jalpaiguri_Gomostapara_D (West Bengal),Siliguri_Jugibhita_GW (West Bengal),S,ANY,ANY,ANY,Surface,Siliguri_E,2614,0300;1045
Jalpaiguri_Lataguri_DPP (West Bengal),Siliguri_Jugibhita_GW (West Bengal),E,ANY,ANY,ANY,Express,Siliguri_E,2308,0330;0600;1000;1600;2000
Jalpaiguri_Lataguri_DPP (West Bengal),Siliguri_Jugibhita_GW (West Bengal),S,ANY,ANY,ANY,Surface,Siliguri_E,2614,0300;1045
