NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Bandipora_Sumbal_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Baramulla_Boniyar_DPP (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Baramulla_Chandilora1_DPP (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Baramulla_Janbazpora_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Baramulla_Pattan_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Kupwara_Chotipora_DPP (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Kupwara_Kralpora2_DPP (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Kupwara_PoliceStn_DPP (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Kupwara_Sogam2_DPP (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Pahalgam_Aishmuqam_DPP (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Pulwama_Drasu_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Pulwama_Lethipora_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Pulwama_Shopian_DPP (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Pulwama_Tral_DPP (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Ramsoo_GundAdalkoot_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Sopore_BadamBagh_DPP (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Srinagar_Badgam_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Srinagar_Batmaloo_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Srinagar_Chadoora_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Srinagar_Kanipora_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Srinagar_Khaniyaar_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Srinagar_Ladhoo_H (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Srinagar_Lalbazar_DPP (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Srinagar_Mustafabad_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Srinagar_Nuner_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Uri_Mainmarket_DPP (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Srinagar_BeerwahRd_D (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Diskit_MainChowk_DPP (Ladakh),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Kargil_Poyen_DPP (Ladakh),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Leh_Saboo_DPP (Ladakh),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Leh_Skarayokma_DPP (Ladakh),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Diskit_MainChowk1_DPP (Ladakh),Jammu_Baribrahmana_H (Jammu & Kashmir),S,ANY,ANY,ANY,Surface,Srinagar_N,1520,1515;2245
Bagodar_Urgi_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
BarkiSaria_Bagodar_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
BarkiSaria_Nawadih_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Bokaro_Chas_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Bokaro_Sector5_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Chakai_Bheleraidih_D (Bihar),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Chirkunda_Egarkunr1_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Deoghar_Bmpstwn_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Deoghar_Ghormara_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
Dhanbad_BinodNagar_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),S,ANY,ANY,ANY,Surface,Dhanbad_E,1521,0645;2315
